# [1]TIME  [2]v_out09 
 2.319166e-09  1.004965e+00 
 2.324496e-09  1.062457e+00 
 2.329206e-09  1.105947e+00 
 2.333943e-09  1.140153e+00 
 2.339501e-09  1.167842e+00 
 2.344816e-09  1.183107e+00 
 2.349527e-09  1.187971e+00 
 2.354241e-09  1.188935e+00 
 2.359787e-09  1.210680e+00 
 2.365115e-09  1.247020e+00 
 2.366425e-09  1.248598e+00 
 2.367567e-09  1.240439e+00 
 2.371220e-09  1.127761e+00 
 2.376110e-09  8.286109e-01 
 2.382012e-09  3.813563e-01 
 2.386552e-09  1.660252e-01 
 2.391359e-09  9.190791e-02 
 2.395669e-09  5.324040e-02 
 2.400960e-09  2.866930e-02 
 2.405642e-09  2.276740e-02 
 2.410286e-09  2.196163e-02 
 2.414569e-09  1.958009e-02 
 2.419806e-09  1.629918e-02 
 2.425212e-09  1.309153e-02 
 2.429867e-09  1.026284e-02 
 2.434584e-09  7.587452e-03 
 2.439998e-09  7.291635e-03 
 2.445567e-09  8.226556e-03 
 2.450196e-09  -5.838678e-03 
 2.455018e-09  -3.440238e-02 
 2.460446e-09  5.335708e-02 
 2.465970e-09  3.590014e-01 
 2.470615e-09  5.879495e-01 
 2.475410e-09  6.803869e-01 
 2.480956e-09  7.368060e-01 
 2.486378e-09  8.014414e-01 
 2.491057e-09  8.720827e-01 
 2.495825e-09  9.366481e-01 
 2.501446e-09  1.004965e+00 
 2.506776e-09  1.062457e+00 
 2.511486e-09  1.105947e+00 
 2.516223e-09  1.140153e+00 
 2.521781e-09  1.167842e+00 
 2.527096e-09  1.183107e+00 
 2.531807e-09  1.187971e+00 
 2.536521e-09  1.188935e+00 
 2.542067e-09  1.210680e+00 
 2.547395e-09  1.247020e+00 
 2.548705e-09  1.248598e+00 
 2.549847e-09  1.240439e+00 
 2.553500e-09  1.127761e+00 
 2.558390e-09  8.286109e-01 
 2.564292e-09  3.813563e-01 
 2.568832e-09  1.660252e-01 
 2.573639e-09  9.190791e-02 
 2.577949e-09  5.324040e-02 
 2.583240e-09  2.866930e-02 
 2.587922e-09  2.276740e-02 
 2.592565e-09  2.196163e-02 
 2.596849e-09  1.958009e-02 
 2.602086e-09  1.629918e-02 
 2.607492e-09  1.309153e-02 
 2.612146e-09  1.026284e-02 
 2.616864e-09  7.587452e-03 
 2.622278e-09  7.291635e-03 
 2.627847e-09  8.226556e-03 
 2.632476e-09  -5.838678e-03 
 2.637298e-09  -3.440238e-02 
 2.642726e-09  5.335708e-02 
 2.648250e-09  3.590014e-01 
 2.652895e-09  5.879495e-01 
 2.657690e-09  6.803869e-01 
 2.663236e-09  7.368060e-01 
 2.668658e-09  8.014414e-01 
 2.673337e-09  8.720827e-01 
 2.678105e-09  9.366481e-01 
 2.683726e-09  1.004965e+00 
 2.689056e-09  1.062457e+00 
 2.693766e-09  1.105947e+00 
 2.698503e-09  1.140153e+00 
 2.704061e-09  1.167842e+00 
 2.709376e-09  1.183107e+00 
 2.714087e-09  1.187971e+00 
 2.718801e-09  1.188935e+00 
 2.724347e-09  1.210680e+00 
 2.729674e-09  1.247020e+00 
 2.730985e-09  1.248598e+00 
 2.732127e-09  1.240439e+00 
 2.735780e-09  1.127761e+00 
 2.740669e-09  8.286109e-01 
 2.746572e-09  3.813563e-01 
 2.751112e-09  1.660252e-01 
 2.755919e-09  9.190791e-02 
 2.760229e-09  5.324040e-02 
 2.765520e-09  2.866930e-02 
 2.770202e-09  2.276740e-02 
 2.774845e-09  2.196163e-02 
 2.779128e-09  1.958009e-02 
 2.784365e-09  1.629918e-02 
 2.789772e-09  1.309153e-02 
 2.794426e-09  1.026284e-02 
 2.799144e-09  7.587452e-03 
 2.804558e-09  7.291635e-03 
 2.810127e-09  8.226556e-03 
 2.814756e-09  -5.838678e-03 
 2.819578e-09  -3.440238e-02 
 2.825006e-09  5.335708e-02 
 2.830530e-09  3.590014e-01 
 2.835175e-09  5.879495e-01 
 2.839970e-09  6.803869e-01 
 2.845516e-09  7.368060e-01 
 2.850937e-09  8.014414e-01 
 2.855617e-09  8.720827e-01 
 2.860385e-09  9.366481e-01 
 2.866006e-09  1.004965e+00 
 2.871336e-09  1.062457e+00 
 2.876046e-09  1.105947e+00 
 2.880782e-09  1.140153e+00 
 2.886340e-09  1.167842e+00 
